FLUKE 54-II,   V1.5,   
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Thermocouple Type,Scaling
1/26/2021 12:28:03 AM,1/26/2021 8:46:03 AM,8:18:00,0:01:00,499,K,(none)
,Max Time Stamp,Max,,Average,,Min,,Min Time Stamp,Offset
T1,1/26/2021 8:27:03 AM,70.1,°F,69.2,°F,68.1,°F,1/26/2021 12:30:03 AM,0.0 °F
T2,1/26/2021 8:13:03 AM,70.3,°F,69.3,°F,68.5,°F,1/26/2021 2:42:03 AM,0.0 °F
T1-T2,1/26/2021 1:29:03 AM,0.2,°F,-0.1,°F,-1.2,°F,1/26/2021 12:30:03 AM,
Reading,T1,,T2,,T1-T2,,Time Stamp
237,68.8,°F,68.8,°F,0,°F,1/26/2021 4:24:03 AM
238,68.8,°F,68.8,°F,0,°F,1/26/2021 4:25:03 AM
239,68.8,°F,68.8,°F,0,°F,1/26/2021 4:26:03 AM
240,68.8,°F,68.8,°F,0,°F,1/26/2021 4:27:03 AM
241,68.8,°F,68.8,°F,0,°F,1/26/2021 4:28:03 AM
242,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:29:03 AM
243,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:30:03 AM
244,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:31:03 AM
245,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:32:03 AM
246,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:33:03 AM
247,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:34:03 AM
248,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:35:03 AM
249,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:36:03 AM
250,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:37:03 AM
251,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:38:03 AM
252,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:39:03 AM
253,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:40:03 AM
254,68.7,°F,68.7,°F,0,°F,1/26/2021 4:41:03 AM
255,68.8,°F,68.7,°F,0.1,°F,1/26/2021 4:42:03 AM
256,68.7,°F,68.7,°F,0,°F,1/26/2021 4:43:03 AM
257,68.7,°F,68.7,°F,0,°F,1/26/2021 4:44:03 AM
258,68.7,°F,68.7,°F,0,°F,1/26/2021 4:45:03 AM
259,68.7,°F,68.7,°F,0,°F,1/26/2021 4:46:03 AM
260,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 4:47:03 AM
261,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 4:48:03 AM
262,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 4:49:03 AM
263,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:50:03 AM
264,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:51:03 AM
265,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:52:03 AM
266,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:53:03 AM
267,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:54:03 AM
268,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:55:03 AM
269,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:56:03 AM
270,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:57:03 AM
271,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:58:03 AM
272,68.7,°F,69,°F,-0.3,°F,1/26/2021 4:59:03 AM
273,68.7,°F,69,°F,-0.3,°F,1/26/2021 5:00:03 AM
274,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 5:01:03 AM
275,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 5:02:03 AM
276,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 5:03:03 AM
277,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 5:04:03 AM
278,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 5:05:03 AM
279,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 5:06:03 AM
